Work package number,Work package title,Objective,Progress per work package,Progress per action,Action number,Action text / scope,Source action grouping,Next steps per action,Source page(s)
WP2,New Humanitarian Compact,"To make the humanitarian system deliver faster, more efficiently and coherently and with greater impact for people in crisis.","As part of the IASC-led Humanitarian Reset, humanitarian planning timelines have been shortened by more than 50 days, and core planning documents by 67 per cent. Pilot rollouts for integrated supply chains are under way in Afghanistan, Haiti, the Occupied Palestinian Territory, Somalia and Sudan, including coordinated procurement, global logistics and country-level delivery. A common services catalogue went live in January, with 17 service lines already available. Work is also under way on humanitarian data initiatives, including the Humanitarian Data Collaborative, beneficiary data interoperability, public-private data collaboration and pooled funding for shared data priorities. The humanitarian diplomacy mechanism is already supporting coordinated analysis, messaging and engagement. To further clarify agency roles and strengthen joint work, 20 country teams have reviewed food security arrangements, joint work on mobility and displacement is moving into implementation, and discussions continue on health and nutrition.","Pilot rollouts for integrated supply chains are under way in Afghanistan, Haiti, the Occupied Palestinian Territory, Somalia and Sudan, including coordinated procurement, global logistics and country-level delivery.",Action 17,"Integrate supply chains and scale common services so that delivery becomes faster, cheaper and more reliable, feeding into the wider Unified Service Roadmap (Work Package 14) for the UN system.","Actions 17, 18",Integrated supply chain models and common services will continue to be developed in 2026 for subsequent application in a wider range of settings. This will be reflected in the Unified Services Roadmap (Work Package 14) information brief in June. No decision of an intergovernmental organ is envisaged at this stage.,pp. 10-11
WP2,New Humanitarian Compact,"To make the humanitarian system deliver faster, more efficiently and coherently and with greater impact for people in crisis.","As part of the IASC-led Humanitarian Reset, humanitarian planning timelines have been shortened by more than 50 days, and core planning documents by 67 per cent. Pilot rollouts for integrated supply chains are under way in Afghanistan, Haiti, the Occupied Palestinian Territory, Somalia and Sudan, including coordinated procurement, global logistics and country-level delivery. A common services catalogue went live in January, with 17 service lines already available. Work is also under way on humanitarian data initiatives, including the Humanitarian Data Collaborative, beneficiary data interoperability, public-private data collaboration and pooled funding for shared data priorities. The humanitarian diplomacy mechanism is already supporting coordinated analysis, messaging and engagement. To further clarify agency roles and strengthen joint work, 20 country teams have reviewed food security arrangements, joint work on mobility and displacement is moving into implementation, and discussions continue on health and nutrition.","A common services catalogue went live in January, with 17 service lines already available.",Action 18,"Integrate supply chains and scale common services so that delivery becomes faster, cheaper and more reliable, feeding into the wider Unified Service Roadmap (Work Package 14) for the UN system.","Actions 17, 18",Integrated supply chain models and common services will continue to be developed in 2026 for subsequent application in a wider range of settings. This will be reflected in the Unified Services Roadmap (Work Package 14) information brief in June. No decision of an intergovernmental organ is envisaged at this stage.,pp. 10-11
WP2,New Humanitarian Compact,"To make the humanitarian system deliver faster, more efficiently and coherently and with greater impact for people in crisis.","As part of the IASC-led Humanitarian Reset, humanitarian planning timelines have been shortened by more than 50 days, and core planning documents by 67 per cent. Pilot rollouts for integrated supply chains are under way in Afghanistan, Haiti, the Occupied Palestinian Territory, Somalia and Sudan, including coordinated procurement, global logistics and country-level delivery. A common services catalogue went live in January, with 17 service lines already available. Work is also under way on humanitarian data initiatives, including the Humanitarian Data Collaborative, beneficiary data interoperability, public-private data collaboration and pooled funding for shared data priorities. The humanitarian diplomacy mechanism is already supporting coordinated analysis, messaging and engagement. To further clarify agency roles and strengthen joint work, 20 country teams have reviewed food security arrangements, joint work on mobility and displacement is moving into implementation, and discussions continue on health and nutrition.","Work is under way on humanitarian data initiatives, including the Humanitarian Data Collaborative, beneficiary data interoperability, public-private data collaboration and pooled funding for shared data priorities.",Action 20,"Strengthen humanitarian data collaboration and interoperability so that agencies can work from a common evidence base, shared beneficiary information, and better-connected data initiatives.","Actions 20, 24","Humanitarian data initiatives will move from technical alignment into operational testing. Their concept, roadmap and financing approaches will be brought together in a Secretary-General's information brief in June. No decision of an intergovernmental organ is envisaged at this stage.",pp. 10-11
WP2,New Humanitarian Compact,"To make the humanitarian system deliver faster, more efficiently and coherently and with greater impact for people in crisis.","As part of the IASC-led Humanitarian Reset, humanitarian planning timelines have been shortened by more than 50 days, and core planning documents by 67 per cent. Pilot rollouts for integrated supply chains are under way in Afghanistan, Haiti, the Occupied Palestinian Territory, Somalia and Sudan, including coordinated procurement, global logistics and country-level delivery. A common services catalogue went live in January, with 17 service lines already available. Work is also under way on humanitarian data initiatives, including the Humanitarian Data Collaborative, beneficiary data interoperability, public-private data collaboration and pooled funding for shared data priorities. The humanitarian diplomacy mechanism is already supporting coordinated analysis, messaging and engagement. To further clarify agency roles and strengthen joint work, 20 country teams have reviewed food security arrangements, joint work on mobility and displacement is moving into implementation, and discussions continue on health and nutrition.","Work is under way on humanitarian data initiatives, including the Humanitarian Data Collaborative, beneficiary data interoperability, public-private data collaboration and pooled funding for shared data priorities.",Action 24,"Strengthen humanitarian data collaboration and interoperability so that agencies can work from a common evidence base, shared beneficiary information, and better-connected data initiatives.","Actions 20, 24","Humanitarian data initiatives will move from technical alignment into operational testing. Their concept, roadmap and financing approaches will be brought together in a Secretary-General's information brief in June. No decision of an intergovernmental organ is envisaged at this stage.",pp. 10-11
WP2,New Humanitarian Compact,"To make the humanitarian system deliver faster, more efficiently and coherently and with greater impact for people in crisis.","As part of the IASC-led Humanitarian Reset, humanitarian planning timelines have been shortened by more than 50 days, and core planning documents by 67 per cent. Pilot rollouts for integrated supply chains are under way in Afghanistan, Haiti, the Occupied Palestinian Territory, Somalia and Sudan, including coordinated procurement, global logistics and country-level delivery. A common services catalogue went live in January, with 17 service lines already available. Work is also under way on humanitarian data initiatives, including the Humanitarian Data Collaborative, beneficiary data interoperability, public-private data collaboration and pooled funding for shared data priorities. The humanitarian diplomacy mechanism is already supporting coordinated analysis, messaging and engagement. To further clarify agency roles and strengthen joint work, 20 country teams have reviewed food security arrangements, joint work on mobility and displacement is moving into implementation, and discussions continue on health and nutrition.","The humanitarian diplomacy mechanism is already supporting coordinated analysis, messaging and engagement.",Action 21,Bring agencies together for coordinated humanitarian diplomacy.,Action 21,"The humanitarian diplomacy mechanism will be further operationalized and refined across relevant contexts, as needed. No decision of an intergovernmental organ is envisaged.",pp. 10-11
WP2,New Humanitarian Compact,"To make the humanitarian system deliver faster, more efficiently and coherently and with greater impact for people in crisis.","As part of the IASC-led Humanitarian Reset, humanitarian planning timelines have been shortened by more than 50 days, and core planning documents by 67 per cent. Pilot rollouts for integrated supply chains are under way in Afghanistan, Haiti, the Occupied Palestinian Territory, Somalia and Sudan, including coordinated procurement, global logistics and country-level delivery. A common services catalogue went live in January, with 17 service lines already available. Work is also under way on humanitarian data initiatives, including the Humanitarian Data Collaborative, beneficiary data interoperability, public-private data collaboration and pooled funding for shared data priorities. The humanitarian diplomacy mechanism is already supporting coordinated analysis, messaging and engagement. To further clarify agency roles and strengthen joint work, 20 country teams have reviewed food security arrangements, joint work on mobility and displacement is moving into implementation, and discussions continue on health and nutrition.",Twenty country teams have reviewed food security arrangements.,Action 22,"Clarify agency roles and strengthen joint work in food security, mobility and displacement, and health and nutrition.","Actions 22, 23, 25","Alignment of agency responsibilities across food security, mobility and displacement, and health and nutrition will continue through 2026, including finalization of a Rome-based agencies collaboration blueprint, pilot-country rollout and further development of joint approaches and interoperability solutions. A Secretary-General's information brief will provide updates on progress in September. No decision of an intergovernmental organ is envisaged at this stage.",pp. 10-11
WP2,New Humanitarian Compact,"To make the humanitarian system deliver faster, more efficiently and coherently and with greater impact for people in crisis.","As part of the IASC-led Humanitarian Reset, humanitarian planning timelines have been shortened by more than 50 days, and core planning documents by 67 per cent. Pilot rollouts for integrated supply chains are under way in Afghanistan, Haiti, the Occupied Palestinian Territory, Somalia and Sudan, including coordinated procurement, global logistics and country-level delivery. A common services catalogue went live in January, with 17 service lines already available. Work is also under way on humanitarian data initiatives, including the Humanitarian Data Collaborative, beneficiary data interoperability, public-private data collaboration and pooled funding for shared data priorities. The humanitarian diplomacy mechanism is already supporting coordinated analysis, messaging and engagement. To further clarify agency roles and strengthen joint work, 20 country teams have reviewed food security arrangements, joint work on mobility and displacement is moving into implementation, and discussions continue on health and nutrition.",Joint work on mobility and displacement is moving into implementation.,Action 23,"Clarify agency roles and strengthen joint work in food security, mobility and displacement, and health and nutrition.","Actions 22, 23, 25","Alignment of agency responsibilities across food security, mobility and displacement, and health and nutrition will continue through 2026, including finalization of a Rome-based agencies collaboration blueprint, pilot-country rollout and further development of joint approaches and interoperability solutions. A Secretary-General's information brief will provide updates on progress in September. No decision of an intergovernmental organ is envisaged at this stage.",pp. 10-11
WP2,New Humanitarian Compact,"To make the humanitarian system deliver faster, more efficiently and coherently and with greater impact for people in crisis.","As part of the IASC-led Humanitarian Reset, humanitarian planning timelines have been shortened by more than 50 days, and core planning documents by 67 per cent. Pilot rollouts for integrated supply chains are under way in Afghanistan, Haiti, the Occupied Palestinian Territory, Somalia and Sudan, including coordinated procurement, global logistics and country-level delivery. A common services catalogue went live in January, with 17 service lines already available. Work is also under way on humanitarian data initiatives, including the Humanitarian Data Collaborative, beneficiary data interoperability, public-private data collaboration and pooled funding for shared data priorities. The humanitarian diplomacy mechanism is already supporting coordinated analysis, messaging and engagement. To further clarify agency roles and strengthen joint work, 20 country teams have reviewed food security arrangements, joint work on mobility and displacement is moving into implementation, and discussions continue on health and nutrition.",Discussions continue on health and nutrition.,Action 25,"Clarify agency roles and strengthen joint work in food security, mobility and displacement, and health and nutrition.","Actions 22, 23, 25","Alignment of agency responsibilities across food security, mobility and displacement, and health and nutrition will continue through 2026, including finalization of a Rome-based agencies collaboration blueprint, pilot-country rollout and further development of joint approaches and interoperability solutions. A Secretary-General's information brief will provide updates on progress in September. No decision of an intergovernmental organ is envisaged at this stage.",pp. 10-11
WP3,UNDP / UNOPS,"To assess the potential benefits of a merger between UNDP and UNOPS, to create a stronger engine for sustainable development, with greater scale and impact.","UNDP and UNOPS have developed and submitted a joint analysis of the current state of each entity (""as-is"" analysis), which has been shared with Member States. Member States have been briefed, including at the UNDP/UNOPS/UNFPA Executive Board session in February, where decision 2026/2, ""Engagement with UN80 initiative"", was adopted. Further analysis has been shared separately by the two entities.","UNDP and UNOPS have developed and submitted a joint analysis of the current state of each entity (""as-is"" analysis), which has been shared with Member States. Member States have been briefed, including at the UNDP/UNOPS/UNFPA Executive Board session in February, where decision 2026/2, ""Engagement with UN80 initiative"", was adopted. Further analysis has been shared separately by the two entities.",Action 26,Conduct a thorough assessment of the potential benefits of a merger between UNDP and UNOPS.,Action 26,"UNDP and UNOPS are currently developing a joint evidence-based assessment of the potential benefits of a merger to help determine whether a merger would strengthen the UN development system's ability to deliver results with greater scale and impact. Relevant information will be available for the Executive Board meetings in May and June. Subsequently, the Secretary-General will consider the submission of a report to the General Assembly, including proposals.",p. 12
WP4,UNFPA / UN Women,To assess the potential benefits of a merger between UNFPA and UN Women and their respective mandates to create a unified voice and platform for gender equality and women's rights.,"A full merger assessment report has been shared with Member States at the end of April. It is informed by engagement and consultations with Member States, the Executive Boards of UNFPA and UN Women and civil society partners. It builds on preparatory products published since March, including the current state of each entity (""as-is"" analysis), preliminary findings for the assessment, and responses to frequently asked questions. The Executive Boards of UNFPA and UN Women also considered the issue in February, when decisions entitled ""Engagement with UN80 initiative"" were adopted.","A full merger assessment report has been shared with Member States at the end of April. It is informed by engagement and consultations with Member States, the Executive Boards of UNFPA and UN Women and civil society partners. It builds on preparatory products published since March, including the current state of each entity (""as-is"" analysis), preliminary findings for the assessment, and responses to frequently asked questions. The Executive Boards of UNFPA and UN Women also considered the issue in February, when decisions entitled ""Engagement with UN80 initiative"" were adopted.",Action 27,Conduct a thorough assessment of the potential benefits of a merger of UNFPA and UN Women and their respective mandates.,Action 27,"The full merger assessment will be available to the meetings of the Executive Boards in May and June. Subsequently, the Secretary-General will consider the submission of a report to the General Assembly, including proposals.",p. 13
WP4,UNFPA / UN Women,To assess the potential benefits of a merger between UNFPA and UN Women and their respective mandates to create a unified voice and platform for gender equality and women's rights.,"A full merger assessment report has been shared with Member States at the end of April. It is informed by engagement and consultations with Member States, the Executive Boards of UNFPA and UN Women and civil society partners. It builds on preparatory products published since March, including the current state of each entity (""as-is"" analysis), preliminary findings for the assessment, and responses to frequently asked questions. The Executive Boards of UNFPA and UN Women also considered the issue in February, when decisions entitled ""Engagement with UN80 initiative"" were adopted.",n/a,Action 28,Consider options to optimize normative functions of UNFPA on population statistics and related activities.,Action 28,The analysis considered the division of labour between UNFPA and DESA appropriate and recommended no structural change.,p. 13
WP5,UN Country Team Reconfiguration,To adapt UN country team configurations to be more impactful and efficient in support of national needs and priorities.,"The working group is developing principles, building blocks and recommendations for country team reconfiguration for the Secretary-General's consideration. In-depth data analysis and consultations with Member States in bilateral, regional group and plenary settings, as well as across the UN system and Resident Coordinators, have informed this process. Co-leads of other relevant work packages have also been consulted. A recalibration of DCO is underway. Member States have provided feedback on how the RC system can be strengthened. Efforts are under way to tailor RC office capacity to best meet UN country team needs.","The working group is developing principles, building blocks and recommendations for country team reconfiguration for the Secretary-General's consideration. In-depth data analysis and consultations with Member States in bilateral, regional group and plenary settings, as well as across the UN system and Resident Coordinators, have informed this process. Co-leads of other relevant work packages have also been consulted.",Action 39,"Develop proposals to reconfigure UN country teams through a system-wide working group, chaired by the Chair of the UN Sustainable Development Group (UNSDG).",Action 39,Recommendations for the reconfiguration of UN country teams will be finalized by the end of April for the Secretary-General's review and reflected in his report on QCPR implementation to ECOSOC in May and the report of the Chair of the UNSDG in May for Member State consideration.,p. 14
WP5,UN Country Team Reconfiguration,To adapt UN country team configurations to be more impactful and efficient in support of national needs and priorities.,"The working group is developing principles, building blocks and recommendations for country team reconfiguration for the Secretary-General's consideration. In-depth data analysis and consultations with Member States in bilateral, regional group and plenary settings, as well as across the UN system and Resident Coordinators, have informed this process. Co-leads of other relevant work packages have also been consulted. A recalibration of DCO is underway. Member States have provided feedback on how the RC system can be strengthened. Efforts are under way to tailor RC office capacity to best meet UN country team needs.",A recalibration of DCO is under way. Member States have provided feedback on how the RC system can be strengthened. Efforts are under way to tailor RC office capacity to best meet UN country team needs.,Action 40,"Strengthen the Resident Coordinator system to better leverage system-wide knowledge and expertise, including via joint knowledge hubs and the expertise-on-demand mechanism (Work Packages 7, 8).",Action 40,"Relevant proposals to strengthen the Resident Coordinator system will be finalized for the Secretary-General's consideration. They will inform the ongoing recalibration of the Resident Coordinator system that will be presented to the ECOSOC Operational Activities Segment. The General Assembly will also consider the review and financing of the Resident Coordinator system at its eighty-first session, in line with General Assembly resolution 79/258.",p. 14
"WP6, WP12",Regional Reset and Regional Platforms,"To reorganize regional capacities of the UN development system for more effective delivery, better linking global mandates, regional strategies and country-level implementation.","Principles, building blocks and recommendations for the regional reset are being developed for the Secretary-General's consideration. In-depth data analysis and consultations with Member States in bilateral, regional group and plenary settings, as well as across the UN system and Resident Coordinators, have informed this process. Co-leads of other relevant work packages have also been consulted.","Principles, building blocks and recommendations for the regional reset are being developed for the Secretary-General's consideration. In-depth data analysis and consultations with Member States in bilateral, regional group and plenary settings, as well as across the UN system and Resident Coordinators, have informed this process. Co-leads of other relevant work packages have also been consulted.",Action 36,"Develop proposals for a regional reset of capacities for sustainable development, including the establishment of Regional Platforms for Integration (RPI), building upon the existing Regional Collaborative Platforms, to improve internal coordination.","Actions 36, 48, 50",Recommendations for the regional reset will be finalized by the end of April for the Secretary-General's review and reflected in his report on QCPR implementation to ECOSOC in May for Member State consideration.,p. 15
"WP6, WP12",Regional Reset and Regional Platforms,"To reorganize regional capacities of the UN development system for more effective delivery, better linking global mandates, regional strategies and country-level implementation.","Principles, building blocks and recommendations for the regional reset are being developed for the Secretary-General's consideration. In-depth data analysis and consultations with Member States in bilateral, regional group and plenary settings, as well as across the UN system and Resident Coordinators, have informed this process. Co-leads of other relevant work packages have also been consulted.","Principles, building blocks and recommendations for the regional reset are being developed for the Secretary-General's consideration. In-depth data analysis and consultations with Member States in bilateral, regional group and plenary settings, as well as across the UN system and Resident Coordinators, have informed this process. Co-leads of other relevant work packages have also been consulted.",Action 48,"Develop proposals for a regional reset of capacities for sustainable development, including the establishment of Regional Platforms for Integration (RPI), building upon the existing Regional Collaborative Platforms, to improve internal coordination.","Actions 36, 48, 50",Recommendations for the regional reset will be finalized by the end of April for the Secretary-General's review and reflected in his report on QCPR implementation to ECOSOC in May for Member State consideration.,p. 15
"WP6, WP12",Regional Reset and Regional Platforms,"To reorganize regional capacities of the UN development system for more effective delivery, better linking global mandates, regional strategies and country-level implementation.","Principles, building blocks and recommendations for the regional reset are being developed for the Secretary-General's consideration. In-depth data analysis and consultations with Member States in bilateral, regional group and plenary settings, as well as across the UN system and Resident Coordinators, have informed this process. Co-leads of other relevant work packages have also been consulted.","Principles, building blocks and recommendations for the regional reset are being developed for the Secretary-General's consideration. In-depth data analysis and consultations with Member States in bilateral, regional group and plenary settings, as well as across the UN system and Resident Coordinators, have informed this process. Co-leads of other relevant work packages have also been consulted.",Action 50,"Develop proposals for a regional reset of capacities for sustainable development, including the establishment of Regional Platforms for Integration (RPI), building upon the existing Regional Collaborative Platforms, to improve internal coordination.","Actions 36, 48, 50",Recommendations for the regional reset will be finalized by the end of April for the Secretary-General's review and reflected in his report on QCPR implementation to ECOSOC in May for Member State consideration.,p. 15
"WP6, WP12",Regional Reset and Regional Platforms,"To reorganize regional capacities of the UN development system for more effective delivery, better linking global mandates, regional strategies and country-level implementation.","Principles, building blocks and recommendations for the regional reset are being developed for the Secretary-General's consideration. In-depth data analysis and consultations with Member States in bilateral, regional group and plenary settings, as well as across the UN system and Resident Coordinators, have informed this process. Co-leads of other relevant work packages have also been consulted.",n/a,Action 37,"Locate regional capacities more systematically in the premises of Regional Commissions, starting with the regional teams of the Development Coordination Office.",Action 37,Proposals for locating regional capacities in the premises of Regional Commissions will be advanced through the same process.,p. 15
WP7,Joint Knowledge Hubs,To pool thematic knowledge across the UN development system to strengthen services for Member States.,"Over twenty development entities have been consulted and surveys undertaken to design the Joint Knowledge Hubs. Three pilot hubs have been selected for phase 1: Trade and Regional Integration; Productive Transformation; and Strategic Foresight. For each hub, work has started on mapping the expertise and products that the hubs will bring together, agreeing co-leadership arrangements and preparing implementation plans.","Over twenty development entities have been consulted and surveys undertaken to design the Joint Knowledge Hubs. Three pilot hubs have been selected for phase 1: Trade and Regional Integration; Productive Transformation; and Strategic Foresight. For each hub, work has started on mapping the expertise and products that the hubs will bring together, agreeing co-leadership arrangements and preparing implementation plans.",Action 33,"Establish Joint Knowledge Hubs that bring together analysis and expertise across UN entities on key themes, providing more joined-up policy support and eliminating duplications.",Action 33,"Implementation plans for each pilot hub will be submitted to the Secretary-General by May. The hubs will be reflected in the Secretary-General's QCPR report in May, with further details to be provided in a Secretary-General's information brief by July. The pilot phase will continue until September, with the aim of demonstrating practical results and learning lessons for the next phase. Two additional hubs, on climate change and on science, technology and innovation, are under consideration for phase 2. No decision of an intergovernmental organ is envisaged.",p. 16
WP8,Expertise-on-Demand Mechanism,To make UN system expertise rapidly and easily accessible to UN country teams and Member States on demand.,"The design of the expertise-on-demand mechanism was endorsed by the Secretary-General in February. Since then, work has moved to the build phase, including mapping of expertise and services, design of practical arrangements, circulation of templates and development of the online catalogue.","The design of the expertise-on-demand mechanism was endorsed by the Secretary-General in February. Since then, work has moved to the build phase, including mapping of expertise and services, design of practical arrangements, circulation of templates and development of the online catalogue.",Action 34,"Establish an expertise-on-demand mechanism with a common catalogue of available expertise and services, clear access protocols and standardized administrative arrangements so that they can be deployed more quickly and efficiently.","Actions 34, 54","Work will continue on the catalogue, access protocols and standard administrative arrangements. The mechanism will be reflected in the Secretary-General's QCPR report in May, with further details to be provided in a Secretary-General's information brief by September. Initial pilots for the first UN country team will be rolled out by June with support from the Joint SDG Fund. This will be followed by refinement and system-wide operationalization by September. No decision of an intergovernmental organ is envisaged.",p. 17
WP8,Expertise-on-Demand Mechanism,To make UN system expertise rapidly and easily accessible to UN country teams and Member States on demand.,"The design of the expertise-on-demand mechanism was endorsed by the Secretary-General in February. Since then, work has moved to the build phase, including mapping of expertise and services, design of practical arrangements, circulation of templates and development of the online catalogue.","The design of the expertise-on-demand mechanism was endorsed by the Secretary-General in February. Since then, work has moved to the build phase, including mapping of expertise and services, design of practical arrangements, circulation of templates and development of the online catalogue.",Action 54,"Establish an expertise-on-demand mechanism with a common catalogue of available expertise and services, clear access protocols and standardized administrative arrangements so that they can be deployed more quickly and efficiently.","Actions 34, 54","Work will continue on the catalogue, access protocols and standard administrative arrangements. The mechanism will be reflected in the Secretary-General's QCPR report in May, with further details to be provided in a Secretary-General's information brief by September. Initial pilots for the first UN country team will be rolled out by June with support from the Joint SDG Fund. This will be followed by refinement and system-wide operationalization by September. No decision of an intergovernmental organ is envisaged.",p. 17
WP25,UNAIDS,"To sustain the UN system's action to end AIDS, sunsetting UNAIDS and mainstreaming its capacity and expertise into relevant entities of the UN development system.","The first phase of transformation is under way. This has included UNAIDS Secretariat downsizing, consolidation of the UNAIDS Secretariat country footprint and identification of the 11 cosponsoring organizations as leads or affiliates. The Programme Coordinating Board (PCB) has constituted a working group that has begun its work and has consulted Member States, cosponsoring organizations and UNAIDS Secretariat.","The first phase of transformation is under way. This has included UNAIDS Secretariat downsizing, consolidation of the UNAIDS Secretariat country footprint and identification of the 11 cosponsoring organizations as leads or affiliates. The Programme Coordinating Board (PCB) has constituted a working group that has begun its work and has consulted Member States, cosponsoring organizations and UNAIDS Secretariat.",Action 29,Develop and implement a transition plan to sunset the Joint UN Programme on HIV/AIDS (UNAIDS) and integrate its capacity and expertise into relevant entities of the UN development system.,Action 29,"The PCB will hold formal multistakeholder consultations, bringing together Member States, civil society and implementing partners in May and September. An interim report of the PCB working group will be discussed by the PCB in June, with a view to preparing a final transformation plan for PCB consideration by October. The outcome would then be transmitted to ECOSOC for decision in November. Separately, specialized agencies that are UNAIDS cosponsoring organizations would be invited to take corresponding decisions regarding their participation.",p. 18
WP26,Other Merger Review,To offer Member States the opportunity and support to explore further potential mergers of UN system entities.,"To date, no proposals have been put forward beyond those set out in the Secretary-General's report ""Shifting Paradigms: United to Deliver"" (A/80/392).","To date, no proposals have been put forward beyond those set out in the Secretary-General's report ""Shifting Paradigms: United to Deliver"" (A/80/392).",Action 32,Provide analysis and technical support on additional merger options at the request of Member States.,Action 32,The Secretary-General stands ready to provide analysis and support on other potential mergers.,p. 19
WP27,Environment,To streamline environmental support to Member States for more impactful action.,"Analysis and mapping are under way across four areas: science, governance, coordination and implementation. This will inform the assessment of current arrangements. Initial findings highlight fragmentation and opportunities for stronger coordination, integration and synergies to advance coherence and strengthen global environmental action at all levels.","Analysis and mapping are under way across four areas: science, governance, coordination and implementation. This will inform the assessment of current arrangements. Initial findings highlight fragmentation and opportunities for stronger coordination, integration and synergies to advance coherence and strengthen global environmental action at all levels.",Action 35,Undertake an assessment of current arrangements and make proposals on possible changes and realignments on environmental issues.,Action 35,The analysis and mapping will be completed in April and the assessment by June for presentation to the Secretary-General. The Secretary-General will issue an information brief on the relevant issues arising from the assessment in September. Eventual proposals may be submitted for consideration by intergovernmental organs.,p. 20
WP28,Other UN Secretariat Development Realignments,To provide more coherent support to Member States by reducing fragmentation in key development areas.,"A calendar has been established for when and where different parts of the UN Secretariat will publish economic projections. A mapping of macroeconomic capacities is under way. In parallel, Secretariat-wide mapping and consultations have been initiated to assess existing support to LDCs, LLDCs and SIDS.",A calendar has been established for when and where different parts of the UN Secretariat will publish economic projections. A mapping of macroeconomic capacities is under way.,Action 30,"Realign macroeconomic analysis capacities across DESA, UNCTAD and the Regional Commissions to provide a single-entry point and joint projections for Member States.",Action 30,"The mapping of macroeconomic analysis capacities will be completed in May to align projections and reporting anchored in joint mechanisms. A joint framework will be developed to designate a single-entry point for macroeconomic analysis. The Secretary-General will review these proposals by September, followed by an information brief.",p. 21
WP28,Other UN Secretariat Development Realignments,To provide more coherent support to Member States by reducing fragmentation in key development areas.,"A calendar has been established for when and where different parts of the UN Secretariat will publish economic projections. A mapping of macroeconomic capacities is under way. In parallel, Secretariat-wide mapping and consultations have been initiated to assess existing support to LDCs, LLDCs and SIDS.","Secretariat-wide mapping and consultations have been initiated to assess existing support to LDCs, LLDCs and SIDS.",Action 31,"Realign support for LDCs, LLDCs and SIDS across entities to strengthen and optimize organizational arrangements and support for these countries.",Action 31,"A proposal for a more coherent support architecture for LDCs, LLDCs and SIDS, including options on governance and division of labour, will be submitted to the Secretary-General by July, followed by an information brief. No decision of an intergovernmental organ is envisaged at this stage.",p. 21
WP9,Human Rights Group,"To ensure system-wide coordination so that human rights, in all their dimensions, are fully integrated into UN policies and activities.","Following extensive consultation, the United Nations Human Rights Group has been established by the Secretary-General. It comprises entities from across the United Nations system and is chaired by the High Commissioner for Human Rights.","Following extensive consultation, the United Nations Human Rights Group has been established by the Secretary-General. It comprises entities from across the United Nations system and is chaired by the High Commissioner for Human Rights.",Action 42,"Establish a Human Rights Group as an internal, standing United Nations system mechanism.",Action 42,The Group will hold its first meeting in May. Member States will receive an information brief in June.,p. 22
WP10,Senior Management Coordination Fora,To strengthen UN system coordination arrangements and strategic internal oversight of the assignment of implementation responsibilities.,"Senior management coordination fora and their support arrangements have been mapped. Terms of reference have been prepared to review the operation of these fora, in line with A/RES/80/251. In parallel, a system-wide mapping of more than 200 other coordination mechanisms has been completed to support recommendations on rationalization and realignment.","Senior management coordination fora and their support arrangements have been mapped. Terms of reference have been prepared to review the operation of these fora, in line with A/RES/80/251.",Action 43,"Assess senior management coordination fora and their administrative support arrangements, as part of the broader assessment on internal strategic oversight (Work Package 20 Action 88).","Actions 43, 44","The review of senior management coordination fora will be completed by September, as part of the broader assessment of how to strengthen internal strategic oversight, including recommendations to the Secretary-General. Member States will receive updates through an information brief on the work package in October.",p. 23
WP10,Senior Management Coordination Fora,To strengthen UN system coordination arrangements and strategic internal oversight of the assignment of implementation responsibilities.,"Senior management coordination fora and their support arrangements have been mapped. Terms of reference have been prepared to review the operation of these fora, in line with A/RES/80/251. In parallel, a system-wide mapping of more than 200 other coordination mechanisms has been completed to support recommendations on rationalization and realignment.","Senior management coordination fora and their support arrangements have been mapped. Terms of reference have been prepared to review the operation of these fora, in line with A/RES/80/251.",Action 44,"Assess senior management coordination fora and their administrative support arrangements, as part of the broader assessment on internal strategic oversight (Work Package 20 Action 88).","Actions 43, 44","The review of senior management coordination fora will be completed by September, as part of the broader assessment of how to strengthen internal strategic oversight, including recommendations to the Secretary-General. Member States will receive updates through an information brief on the work package in October.",p. 23
WP10,Senior Management Coordination Fora,To strengthen UN system coordination arrangements and strategic internal oversight of the assignment of implementation responsibilities.,"Senior management coordination fora and their support arrangements have been mapped. Terms of reference have been prepared to review the operation of these fora, in line with A/RES/80/251. In parallel, a system-wide mapping of more than 200 other coordination mechanisms has been completed to support recommendations on rationalization and realignment.",A system-wide mapping of more than 200 other coordination mechanisms has been completed to support recommendations on rationalization and realignment.,Action 46,Review the wider portfolio of interagency coordination mechanisms and task forces at headquarters to reduce duplication and align them with the Regional Monthly Review platform.,Action 46,Recommendations to rationalize the wider portfolio of other interagency coordination mechanisms and task forces will also be submitted to the Secretary-General by September. No decision of an intergovernmental organ is envisaged.,p. 23
