id,sub_id,work_package_id,indicative_action,indicative_sub_action,work_package_leads,Action Member(s) -- SUPERSEDE,Action Entity(s) -- GET VIA LEADS?,Milestone 1,Milestone 1 Deadline,Milestone Final,Milestone Final - Deadline,tracking_status,action_notes,upcoming_milestone,Delivery Date,work_package_title,workstream_id,Sub-Action,action_lead,Big Ticket,needs_member_state_engagement,intergovernmental_bodies,Scenario for Proposal Advancement,action_status,Legal Consideration/Implication,action_spport,document_paragraph_number,work_package_goal,document_paragraph_text,Scope Definition,un_budgets,action_updates,Milestone 2,Milestone 2 Deadline,FP Specific for WP-Level,action_members,Milestone 3,Milestone 3 Deadline
95,(d),31,"Implement residual actions from Phase II of the Working Group on Efficiencies, not to be included in or relevant for WP#14",HRA consolidation,"['USG DMSPC', 'USG DOS']","Paulin Djomo Metanhi, Director RSCE, djomo@un.org","['RSCE', 'DMSPC', 'DOS']",31 December 2025: Phase one of the consolidation review completed,2025-12-30,Subject to Steering Group endorsement and the approval of business case. Implementation not expected before December 2026,2026-12-30,Attention to timeline,"Consider adjusting final milestone date to earlier potential checkpoint, if possible.",Proposals finalized for management consideration,2026-01-30,UN Secretariat efficiencies and improvement,WS1,Human resources administration consolidation,"['USG DMSPC', 'USG DOS']",False,True,['GA'],3. Included in budget estimate,Further work ongoing,GA decision (programme budget) required.,,,,,,,,31 January 2026: Endorsement of consolidation by Steering Group.,2026-01-30,,,,
80,,19,"Prepare an action plan to improve staff support to Member State during mandate creation, based on mapping of existing capacities per mandating bodies and Member State priorities",,"['USG Policy', 'USG DGACM']","Guy Ryder, USG for Policy, guy.ryder@un.org;
Movses Abelian, USG DGACM, abelian@un.org","['EOSG (USG Policy)', 'DGACM', 'DMSPC', 'DGC']",Draft of member state survey on mandate creation support finalized for Co-Chairs' of IAHWG on Mandate Implementation Review consideration,2026-01-30,Proposals for enhanced mandate creation support submitted to MS for decision,2026-04-30,Finalized,,Invitation to participate in survey shared with Member State delegates,2026-02-28,Mandate creation support,WS2,,"['USG Policy', 'USG DGACM']",True,,,1. Within SG authority,Further work ongoing,,"Melanie Ramjoue, Senior Programme Officer, EOSG, ramjoue@un.org;
Wannes Lint, Intergovernmental Affairs Officer, DGACM, lint@un.org",23.2,"Improved visibility, coordination and support for member states during mandate creation","2. Improve UN Secretariat support for Member States during mandate creation, based on priorities established by Member States",Conduct one-off survey; map perceived gaps; align with existing support teams; propose service improvements.,,,,,,,,
89,,20,"As part of the standard budget guidance process, develop an action plan to ensure UN entities systematically review mandate citations in their programmes, incl. based on comparative advantage ",,['CDC'],"Catherine Pollard, USG DMSPC, pollardc@un.org;
Inger Andersen, ED UNEP, inger.andersen@un.org;
Catherine Russell, ED UNICEF, crussell@unicef.org","['DMSPC', 'UNEP', 'UNICEF', 'DOS', 'EOSG (USG Policy)']",Revised budget instruction issued by PPBD accompanied by a political message from EOSG,2026-01-30,"Budget instructions for the 2028 programme plan issued with fully developed guidance on defining comparative advantage, based on lessons learned from the 2027 process ",2026-10-31,Finalized,Intermediate milestones available,Additional review instructions shared with relevant UN entities,2026-01-30,UN budget / programme management,WS2,,['CDC'],True,,,1. Within SG authority,Further work ongoing,,"Chandramouli Ramanathan, Assistant Secretary-General & Controller, DMSPC, ramanathanc@un.org;
Ligia Noronha, ASG, UNEP, ligia.noronha@un.org;
Hannan Sulieman, Deputy Executive Director, UNICEF, hsulieman@unicef.org;
Arnab Roy, Director, EOSG, roya@un.org;
Christophe Monier, Director, DMSPC, monier@un.org;
Patrick Carey, Director, DOS, careyp@un.org;
Soomi Ro, Director, UNEP, ros@un.org;
Oumar Diallo, Special Assistant to the Chef de Cabinet, EOSG, dialloo@un.org;
Alessandro Susini, Executive Officer, EOSG, susini@un.org;
Kersten Jauer, Deputy Director Strategic Planning Unit, EOSG, jauer@un.org;
Qian Cheng, Finance and Budget Officer, EOSG, qian.cheng@un.org",44.2,Strengthened the division of labour across the United Nations system to deliver greater impact,11. Ensure UN entities review mandate citations in their programmes and budgets so that entities only cite mandates for which they have demonstrable comparative advantages,Review and remove outdated references; reduce duplication in budget citations; build unified mandates database.,,,Preparation of 2027 programme plan completed with reduced mandates citation,2026-06-29,,,,
17,,2,"Integrate global supply chains, coordinating procurement of key items, pool use of global freight and logistics, and unbranded in-country services open to the entire UN system ",,['USG OCHA'],"Tom Fletcher, USG OCHA, fletcher@un.org;
Catherine Russell, ED UNICEF, crussell@unicef.org;
Cindy McCain, ED WFP, cindy.mccain@wfp.org;
Atul Khare, USG DOS, khare@un.org

","['OCHA', 'UNICEF', 'WFP', 'DOS']","Interagency supply chain design endorsed by participating agencies, and starter locations agreed",2026-01-30,"Integrated UN supply chain operational across agencies, with joint procurement and shared logistics in starter countries, improving speed and cost",2026-08-30,Finalized,,Integrated supply chain operational in starter countries,2026-08-30,New Humanitarian Compact,WS3,,['USG OCHA'],True,,,2. Requiring further work,Further work ongoing,,"Hansjoerg Strohmeyer, Policy Director, OCHA, strohmeyerh@un.org;
AnneMarie Van Den Berg, Assistant Secretary-General, PSCM-DOS, vandenberga@un.org;
Corinne Fleischer, Director, Supply Chain, WFP, Corinne.fleischer@wfp.org;
Leila Gharagozloo Pakkala, Director, Supply Divisions, UNICEF, lpakkala@unicef.org
",28.0,Maximizing impact,"The New Humanitarian Compact proposes coordinated procurement of key items, pooled use of global freight and logistics, and unbranded in-country services open to the entire UN system. A coordination cell will link these efforts.","Build an opt-in, system-wide humanitarian supply chain concept: coordinated procurement, pooled global freight, shared in-country logistics, and unbranded services. Reduce fragmentation and improve speed and cost efficiency.",,,,,,,,
11,,22,Rationalize the Office of the United Nations Representative to the Geneva International Discussions (UNRGID),,"['USG DPPA', 'USG DPO']","Rosemary Anne Di Carlo, USG DPPA, rosemary.dicarlo@un.org;
Jean-Pierre Lacroix, USG DPO, jean-pierre.lacroix@un.org","['DPPA', 'DPO']",GA endorses revised estimates for UNRGID,2025-12-31,Full implementation of structural changes,2026-12-30,Attention to timeline,Review final deadline to ensure checkpoint on impact of action before end of December 2026,No longer relevant,,"Prevention, peacebuilding, peace support",WS3,,"['USG DPPA', 'USG DPO']",False,True,['GA'],3. Included in budget estimate,Decision taken,GA decision (programme budget) required,"Markus Bouillon, Principal Political Affairs Officer, DPPA, bouillonm@un.org;
Kayoko Gotoh, Director Political Affairs, DPPA-DPO, gotoh@un.org;

OASG ECAA",20.0,Joined up and networked for lasting impact,"Rationalize the Office of the United Nations Representative to the Geneva International Discussions (UNRGID), optimizing staffing resources and streamlining support structures while ensuring credible engagement.",,['RB 2026 Rev'],"Decision taken, as per GA resolution 80/242",,,,,,
65,,14,"Conduct assessment for integration of basic information and communication technology services, as well as payroll, human resources, finance, and enterprise resource planning (ERP) systems",,"['Chair HLCM', 'ED WFP', 'Co-Chairs BIG']",HLCM Chair/BIG Co-Chairs,"['HLCM', 'BIG', 'WFP', 'UNHCR', 'DCO']","Release of the assessment framework that will be used to guide decision making on items outlined in Action 63
",2026-01-31,"Final release of the outcomes of the assessment (cost, risk, complexity, ...)",2026-09-14,Finalized,,Assessment framework for unified services finalized for Secretary-General's consideration,2026-01-31,Unified services roadmap,WS3,,"['Chair HLCM', 'ED WFP', 'Co-Chairs BIG']",True,,,2. Requiring further work,Further work ongoing,,"Remo Lalli, Secretary of the High-level Committee on Management (HLCM), Director of the the Geneva Office of the CEB Secretariat, remo.lalli@un.org;
Silvan Scheiwiller, Coordination Officer, CEB, scheiwiller@un.org;
Federico Calciolari, Associate Expert in Interagency Coordination, CEB, federico.calciolari@un.org;
Larai Musa, Chief, Business Management Branch, DCO, larai.musa@un.org;
Peride Blind, xxx, xxx, blind@un.org;
Sara Adam, Director, Management Services Division, WFP, sara.adam@wfp.org",84.0,Unified support services,"Basic information and communication technology services, as well as payroll, human resources, finance, and enterprise resource planning (ERP) systems will follow in a sequenced roadmap with milestones.  ",,,,,,,,,
2,,22,"Establish a single centre of excellence on Women, Peace and Security, bringing together the DPPA and DPO gender units",,"['USG DPPA', 'USG DPO']","Rosemary Anne Di Carlo, USG DPPA, rosemary.dicarlo@un.org; 
Jean-Pierre Lacroix, USG DPO, jean-pierre.lacroix@un.org","['DPPA', 'DPO']","GA endorses proposed merger of the separate gender units in DPPA and DPO.  Merged gender unit takes up its work, reporting to both USGs",2025-12-31,"GA endorses proposed merger of the separate gender units in DPPA and DPO.  Merged gender unit takes up its work, reporting to both USGs",2025-12-31,Finalized,,No longer relevant,,"Prevention, peacebuilding, peace support",WS3,,"['USG DPPA', 'USG DPO']",False,True,['GA'],3. Included in budget estimate,Decision taken,GA decision (programme budget) could be required.,"Asif Khan, Director, DPPA, khan34@un.org;
David Haeri, Director, DPO, haeri@un.org;
Markus Bouillon, Principal Political Affairs Officer, DPPA, bouillonm@un.org;
Marco Bianchini, Principal Political Affairs Officer, DPO, bianchinim@un.org

",16.0,Joined up and networked for lasting impact,"We plan to establish a single centre of excellence on Women, Peace and Security, bringing together the DPPA and DPO gender units.",,['RB 2026 Rev'],"Decision taken, as per GA resolution 80/242",,,"David Haeri, Director, DPO, haeri@un.org","['USG DPPA', 'USG DPO']",,
63,,14,"Prepare a Unified Services Roadmap, based on existing reform commitments and two models: some services will be provided by consolidated entities, and others through marketplaces of providers.",,"['Chair HLCM', 'ED WFP', 'Co-Chairs BIG']",HLCM Chair/Vice-Chair / BIG-Co Chairs,"['HLCM', 'BIG', 'WFP', 'UNHCR', 'DCO']",Integration of HLCM’s Far-Reaching Efficiency Initiatives (FREIs) and BIG’s Global Shared Services (GSS) agenda into one single unified service roadmap outline,2026-01-30,"Release of the outcome report on the Unified Services Roadmap, outlining progress, results and suggested next steps. (Progress report ready by 15 September 2026)",2026-10-30,Finalized,,Single Unified Service Roadmap outline submitted for Secretary-General's consideration,2026-01-30,Unified services roadmap,WS3,,"['Chair HLCM', 'ED WFP', 'Co-Chairs BIG']",True,,,2. Requiring further work,Further work ongoing,,"Remo Lalli, Secretary of the High-level Committee on Management (HLCM), Director of the the Geneva Office of the CEB Secretariat, remo.lalli@un.org;
Silvan Scheiwiller, Coordination Officer, CEB, scheiwiller@un.org;
Federico Calciolari, Associate Expert in Interagency Coordination, CEB, federico.calciolari@un.org;
Larai Musa, Chief, Business Management Branch, DCO, larai.musa@un.org;
Peride Blind, xxx, xxx, blind@un.org;
Antoine Sfeir, Executive Assistand, UNHCR, sfeira@unhcr.org;
Sara Adam, Director, Management Services Division, WFP, sara.adam@wfp.org ",83.0,Unified support services,"To make the shift to shared services across pillars credible, the Secretary-General will build on existing reform commitments to align a coalition of UN system entities around a Unified Services Roadmap based on the following action areas.",,,,,,,,,
43,,10,"Review top management fora to ease the coordination burden for senior leaders and ensure coherent action across pillar, incl. CEB, IASC, UNSDG, EC",,['USG Policy'],"Guy Ryder, USG for Policy, guy.ryder@un.org","['EOSG (USG Policy)', 'DCO', 'OCHA']",Coordination fora mapped and first draft baseline analytics prepared,2026-01-30,Initial actions prepared for the Secretary-General's consideration,2026-03-31,Finalized,,Initial proposals prepared for the Secretary-General's consideration,2026-03-31,Senior management coordination forums,WS3,,['USG Policy'],True,,,1. Within SG authority,Further work ongoing,,"Kersten Jauer, Deputy Director SPMU, EOSG, jauer@un.org",61.0,Form to follow function,"We will undertake a review of top management fora to ease the coordination burden for senior leaders and ensure coherent action across pillars. These include the subsidiary bodies of the Chief Executives Board, the Inter-Agency Standing Committee (IASC), the UN Sustainable Development Group (UNSDG) and the Secretary-General’s Executive Committee.","Review top management fora to reduce duplication, meeting burden and fragmentation; propose a simpler, tiered coordination model.",,,,,,,,
1,,22,Establish a unified Peacebuilding and Peace Support Office (one ASG to be abolished),,"['USG DPPA', 'USG DPO']","Rosemary Anne Di Carlo, USG DPPA, rosemary.dicarlo@un.org;
Jean-Pierre Lacroix, USG DPO, jean-pierre.lacroix@un.org","['DPPA', 'DPO']",GA endorses proposed establishment of unified PBPSO and abolition of one ASG post,2025-12-31,GA endorses proposed establishment of unified PBPSO and abolition of one ASG post,2025-12-31,Finalized,,No longer relevant,,"Prevention, peacebuilding, peace support",WS3,,"['USG DPPA', 'USG DPO']",False,True,['GA'],3. Included in budget estimate,Decision taken,GA decision (programme budget) required.,"Elizabeth Spehar, Assistant Secretary-General, DPPA-PBSO, spehare@un.org;
Awa Dabo, Director Political Affairs, DPPA-PBSO, awa.dabo@un.org; 
Markus Bouillon, Principal Political Affairs Officer, DPPA, bouillonm@un.org;
Marco Bianchini, Principal Political Affairs Officer, DPO, bianchinim@un.org;
OROLSI colleagues",15.0,Joined up and networked for lasting impact,"We plan to establish a unified Peacebuilding and Peace Support Office, bringing together existing capacities of peacebuilding, disarmament, demobilization and reintegration, security sector reform, and justice and corrections expertise that are currently split between DPPA and DPO.",,['RB 2026 Rev'],"Decision taken, as per GA resolution 80/242",,,,"['USG DPPA', 'USG DPO']",,
